Category,keyword,topic_id
Travel,passport,/m/05sv1
Travel,Immigration,/m/0cbx95
Travel,Travel Visa,/m/01wtrk
Refugee,Refugee,/m/0ccld
"conflict, violence",Conflict,/m/0n5w902
"conflict, violence",War,/m/082cb
"conflict, violence",Violence,/m/082cb
"conflict, violence",Crisis,/m/02gyy_
"conflict, violence",Militia, /g/11cs5qb4gj
"conflict, violence",Genocide, /m/038bj
"conflict, violence",Armed Forces, /m/01h6rj
"conflict, violence",Civilian, /m/012kb2
Economic,Currency, /m/01q7l
Economic,Lottery, /m/01h8pw
Economic,Economy, /m/0gfps3
Economic,Bureau de change, /m/0689r7
Economic,Wage, /m/01_942
Social,Protest, /m/01nd_n
Social,Coup dՎtat, /m/025k7
Civil,Government, /m/036nz